TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR,KENPOM_NETRTG,KENPOM_ORTG,KENPOM_DRTG,KENPOM_ADJT,LUCK,SOS_NETRTG,NCSOS_NETRTG,TRUE_QUALITY_SCORE,KENPOM_RANK,SEED_DIVERGENCE,QMS
Eastern Kentucky,OVC,33,23,108.4,103.7,0.6242,54.0,51.2,17.9,25.5,27.9,38.0,34.8,43.7,55.4,53.3,35.0,31.5,65.1,-4.0,,,2013,5.39,110.7,105.3,63.9,0.028,-3.72,-4.37,5.3788,110.0,,0.0
Eastern Michigan,MAC,31,13,92.1,96.6,0.3657,43.8,46.5,23.1,22.8,33.9,37.2,30.5,37.6,41.5,48.0,33.0,29.7,61.1,-11.6,,,2013,,,,,,,,-4.5,150.0,,0.0
Eastern Washington,BSky,31,10,96.4,107.8,0.2174,48.8,48.1,19.3,15.8,29.4,35.3,32.0,36.2,47.0,46.2,34.1,35.1,68.5,-16.7,,,2013,,,,,,,,-11.399999999999991,150.0,,0.0
Elon,SC,31,19,97.2,100.8,0.3966,49.2,46.8,17.4,19.1,26.4,30.1,29.2,36.5,48.0,43.2,34.0,36.8,66.2,-6.6,,,2013,,,,,,,,-3.5999999999999943,150.0,,0.0
Evansville,MVC,35,20,104.8,96.2,0.7293,48.5,50.7,16.9,21.5,29.3,29.3,31.1,34.4,46.0,49.7,36.7,35.2,66.1,-4.6,,,2013,8.08,106.4,98.3,64.6,-0.011,3.86,-2.62,8.0844,83.0,,0.0
FIU,SB,32,18,98.9,101.8,0.4153,48.9,51.1,21.7,25.6,31.3,36.0,35.8,37.1,48.3,52.5,33.3,32.3,69.3,-7.9,,,2013,,,,,,,,-2.8999999999999915,150.0,,0.0
Fairfield,MAAC,35,19,95.3,94.6,0.521,47.7,44.4,21.5,21.6,33.5,32.2,28.9,45.6,47.8,43.2,31.6,32.0,61.9,-8.4,,,2013,,,,,,,,0.7000000000000028,150.0,,0.0
Fairleigh Dickinson,NEC,31,7,92.1,112.8,0.0887,48.9,52.6,22.5,17.5,26.2,38.5,35.2,35.7,47.2,51.7,35.0,36.3,68.7,-18.6,,,2013,,,,,,,,-20.700000000000003,150.0,,0.0
Florida,SEC,37,29,115.7,85.7,0.9694,55.2,43.3,17.8,22.5,34.2,28.4,31.0,29.9,54.3,41.8,37.8,31.0,62.8,4.1,E8,3.0,2013,31.18,117.2,86.0,61.9,-0.089,7.0,4.09,31.2156,2.0,-2.0,0.0
Florida A&M,MEAC,29,6,88.6,106.5,0.1078,43.0,50.5,22.5,22.7,31.6,37.4,32.7,42.2,41.9,49.3,30.3,35.4,69.6,-18.4,,,2013,,,,,,,,-17.900000000000006,150.0,,0.0
Florida Atlantic,SB,31,13,97.7,104.3,0.3202,47.5,45.8,22.6,17.1,32.9,34.3,35.5,36.4,45.1,46.0,35.3,30.2,65.5,-12.3,,,2013,,,,,,,,-6.599999999999994,150.0,,0.0
Florida Gulf Coast,ASun,35,24,103.4,96.3,0.6952,51.6,46.9,21.0,22.1,32.5,32.8,35.2,32.7,52.3,46.9,33.4,31.3,69.1,-4.0,S16,15.0,2013,6.27,104.9,98.6,67.9,0.039,-2.79,4.57,6.2543999999999995,105.0,1.0,0.0
Florida St.,ACC,34,18,105.4,100.4,0.6341,49.9,49.7,22.0,20.6,30.9,36.6,40.4,34.8,48.9,47.1,34.8,36.8,66.0,-3.0,,,2013,4.45,107.1,102.7,64.2,0.085,6.95,-1.09,4.416,120.0,,0.0
Fordham,A10,30,6,98.6,105.7,0.3112,45.0,51.1,22.9,16.3,36.1,32.5,32.6,45.1,44.2,50.0,31.3,35.6,68.8,-13.2,,,2013,,,,,,,,-7.1000000000000085,150.0,,0.0
Fresno St.,MWC,28,9,98.1,92.6,0.6606,43.5,45.4,18.5,20.2,29.2,34.9,37.3,47.1,39.9,46.7,33.7,28.1,62.2,-8.8,,,2013,5.46,100.0,94.5,60.5,-0.062,9.1,4.39,5.4848,109.0,,0.0
Furman,SC,29,5,90.4,113.5,0.0686,45.8,52.6,22.7,17.2,28.4,33.5,35.3,29.2,44.0,50.3,32.6,38.6,64.9,-20.0,,,2013,,,,,,,,-23.09999999999999,150.0,,0.0
Gardner Webb,BSth,31,18,95.8,99.0,0.4069,46.8,48.3,20.9,23.3,35.7,31.1,34.5,34.8,45.9,47.8,32.5,33.0,63.2,-7.2,,,2013,,,,,,,,-3.200000000000003,150.0,,0.0
George Mason,CAA,38,22,102.4,98.3,0.6157,48.5,47.3,20.3,21.8,34.7,33.4,35.3,44.5,47.1,45.8,34.6,33.3,67.0,-7.8,,,2013,3.21,103.5,100.3,65.6,-0.007,-0.41,5.15,3.2128,133.0,,0.0
George Washington,A10,30,13,98.8,93.0,0.665,46.6,47.4,23.4,21.3,38.2,30.8,40.4,32.7,47.7,44.6,27.9,36.0,68.0,-7.3,,,2013,5.34,100.4,95.1,66.5,-0.085,4.39,-0.62,5.374,111.0,,0.0
Georgetown,BE,32,25,107.6,85.0,0.9381,51.1,43.0,20.1,22.4,30.4,31.0,36.8,35.3,50.2,41.4,35.3,30.7,62.5,6.6,R64,2.0,2013,21.24,107.6,86.4,61.2,0.038,7.42,-6.15,21.2248,16.0,2.0,0.0
Georgia,SEC,32,15,100.9,94.4,0.6817,46.9,45.0,23.0,18.5,32.1,30.5,45.0,37.9,43.5,42.3,35.7,32.9,62.3,-6.3,,,2013,5.27,101.9,96.7,60.9,-0.002,4.82,-0.89,5.2707999999999995,113.0,,0.0
Georgia Southern,SC,31,12,94.6,106.3,0.2071,45.9,49.7,20.1,20.5,30.9,34.4,35.4,37.0,44.2,50.8,33.1,31.8,62.2,-13.9,,,2013,,,,,,,,-11.700000000000005,150.0,,0.0
Georgia St.,CAA,30,14,103.6,104.6,0.4716,50.0,51.1,18.0,20.9,29.4,32.7,34.9,37.0,48.0,48.7,35.7,36.6,64.1,-10.9,,,2013,,,,,,,,-1.0,150.0,,0.0
Georgia Tech,ACC,31,16,99.6,91.1,0.7369,46.8,45.4,19.3,19.0,32.6,28.3,28.0,33.0,46.4,43.8,31.8,32.3,66.4,-4.8,,,2013,6.37,99.9,93.5,65.2,-0.038,3.9,-10.65,6.3852,104.0,,0.0
Gonzaga,WCC,34,31,118.9,90.2,0.9599,54.9,44.9,17.2,20.8,37.8,29.8,40.8,29.9,55.0,42.1,36.5,32.9,65.1,7.6,R32,1.0,2013,27.81,120.5,92.7,63.3,0.026,4.37,5.03,27.7996,5.0,1.0,0.0
Grambling St.,SWAC,28,0,76.6,121.4,0.005,41.1,52.2,26.8,14.8,28.5,39.1,24.9,34.9,38.4,49.9,31.2,37.8,64.7,-24.3,,,2013,,,,,,,,-44.80000000000001,150.0,,0.0
